,EPK_ferti_crop_name,BIO,n,N_org,N_min
1,Betterave_sucriere,0,374,54.0637636959923,86.3616264947193
2,Ble_dur,0,576,3.52935253075509,184.550154214389
3,Ble_dur,1,17,42.2975844973673,0
4,Ble_tendre,0,1034,10.5842660561162,165.783885779313
5,Ble_tendre,1,57,49.2756231178666,0
6,Canne_a_sucre,0,326,13.0282881016135,145.063962627445
7,Colza,0,958,42.8033874240221,157.801363207719
8,Colza,1,19,109.150567550542,0
9,Feverole,0,563,7.76199686103273,2.37780838656258
10,Feverole,1,72,4.01372502615546,0
11,Lin_Oleagineux,0,289,11.3971424453634,73.79795661961
12,Lin_Oleagineux,1,22,35.3351936938977,0
13,Lin_fibre,0,127,4.81766949941731,28.6238905346816
14,Mais_fourrage,0,1079,150.978587095058,63.1335859382365
15,Mais_fourrage,1,39,90.6986476908109,0
16,Mais_grain,0,1774,61.0824823782276,133.22664939798
17,Mais_grain,1,59,127.4426878009,0
18,Melange_avec_proteagineux,0,316,39.4089002013731,35.4991414900507
19,Melange_avec_proteagineux,1,179,36.1108772099276,0
20,Melange_de_cereales,0,288,60.6053682231719,70.3320332224278
21,Melange_de_cereales,1,60,28.4915042584387,0
22,Melange_fourrager,0,563,58.5259326209722,29.377207055878
23,Melange_fourrager,1,118,49.8393565293819,0
24,Orge,0,1055,14.9543111768306,120.540501736414
25,Orge,1,43,42.418374578867,0
26,Pois_proteagineux,0,719,4.93642192591073,1.73423317298407
27,Pois_proteagineux,1,41,10.1968949107131,0
28,Pomme_de_terre,0,717,51.7034948324799,140.171368928491
29,Pomme_de_terre,1,37,109.066136690101,0
30,Prairie_permanente,0,970,26.9926840716016,21.5679360831908
31,Prairie_permanente,1,102,22.2344998408555,0
32,Prairie_temporaire,0,651,61.9922158453298,46.6530800279673
33,Prairie_temporaire,1,95,37.9893562282788,0
34,Soja,0,121,2.90784531416868,3.25413400298417
35,Soja,1,19,14.2272968324259,0
36,Tournesol,0,586,13.0172369543043,41.691820340775
37,Tournesol,1,30,28.0180738677581,0
38,Triticale,1,135,45.5863840387558,0
