OTEFDA,FQS,nobs,crop_area_ha,grassland_area_ha,nb_dairy_cow,wheat_yield_t_ha,milk_yield_kg,milk_yield_kg_cow
1516,AB,39,106.941632653061,13.1531333333333,NA,3.28907681701195,NA,NA
1516,Conventionnel,1241,141.44882287618,18.2670751802266,22.6537765957447,7.20840469460386,286562.755102041,6812.2238819429
1516,LR,53,178.537358490566,15.4759090909091,NA,6.92025751601735,NA,NA
2829,AB,26,26.8095,15.2463636363636,NA,2.79553002948996,NA,NA
2829,Conventionnel,72,48.8383084577114,16.3531944444444,NA,5.3329843504742,NA,NA
3500,AB,78,45.3102255639098,10.9629032258065,NA,3.58986370870278,NA,NA
3500,Conventionnel,395,63.7846348517715,9.8255938697318,17.3111111111111,5.04288790345619,85927.3333333333,4895.59132497458
3900,AB,20,31.6567307692308,2.77625,NA,3.47062720376109,NA,NA
3900,Conventionnel,142,46.1294794520548,19.658064516129,7.945,4.5184601946588,23371.8,3119.63007518797
4500,AB,78,70.0592518703242,54.1246174863388,67.6845635910224,3.45619417456942,344524.3840399,5007.38468691203
4500,AOP - AOC,6,45,38.6833333333333,45.3166666666667,4.9981102003643,249100,5515.56960939008
4500,BEURRE D ISIGNY;CREME D ISIGNY,10,63.706,84.786,113.257,7.11602937059019,665657.1,6346.65991396056
4500,BRIE DE MEAUX,6,144.43,78.805,97.75,7.6725056317408,754301,7501.86740379436
4500,Beurre de Charentes-Poitou,35,106.487714285714,26.5732352941176,87.112,5.01359962126102,653673.257142857,7040.26426966193
4500,Bleu d'Auvergne - Cantal,35,26.6297142857143,63.898,58.53,4.68805070580818,370024.514285714,6183.20316998888
4500,CAMEMBERT DE NORMANDIE;LIVAROT;PONTL EVEQUE,5,25.932,97.578,75.55,NA,441885.6,6118.22467671645
4500,CREME FLUIDE;CREME FRAICHE FLUIDE D ALSACE,13,65.8092307692308,37.8838461538462,83.2230769230769,7.71963419784298,692346,8130.78172008453
4500,Comte - Morbier,56,30.4212727272727,106.211272727273,62.2578571428571,5.05872874949791,414885.803571429,6623.59558611333
4500,Conventionnel,764,77.7137776719829,51.8602425665102,78.1352592768792,6.45379350947683,577382.270321812,7103.93776530558
4500,Fromages de Savoie,31,42.3609677419355,74.5316129032258,64.8258064516129,5.70213074387044,440517,6397.10350511417
4500,LR,8,148.18375,55.266,89.1075,5.56966456515643,687186.5,7724.82919898973
4500,Munster,24,61.5854166666667,71.9391666666667,71.0145833333333,6.779568299106,519773.708333333,6893.25029568132
4500,SAINTNECTAIRE,8,0.5,87.48375,49.275,NA,221860.5,4326.56445159401
4600,AB,35,54.9429464285714,103.379807692308,NA,3.16320903867071,NA,NA
4600,Conventionnel,645,50.4413669064748,90.907442339374,2.82098039215686,5.04410847940276,NA,NA
4700,AB,7,70.7743181818182,101.781590909091,60.9861363636364,2.50370940804756,255040,4497.86190524183
4700,Beurre de Charentes-Poitou,12,80.3925,59.1366666666667,64.9833333333333,4.37543489041889,431007.916666667,6567.61181609707
4700,Bleu d'Auvergne - Cantal,19,31.5621052631579,93.9415789473684,48.7894736842105,5.06808378576727,309118.421052632,5955.60225247895
4700,Conventionnel,211,82.9195473595977,89.6893939393939,62.5923302598491,6.35950223104573,431836.015371477,6519.07856612194
4700,Munster,10,91.716,120.361,78.74,7.39153178104092,594622.9,6890.6733460672
4800,AB,40,50.8988590604027,79.9926388888889,29,3.2300514532054,52475,1809.48275862069
4800,Conventionnel,401,60.855421686747,68.1105552050473,28.8034482758621,4.8397273654468,264650,6662.48399162426
4800,LR,7,123.398571428571,36.9866666666667,NA,5.85979704968368,NA,NA
5074,AB,37,46.739381443299,36.0286046511628,48.31,2.76547603789463,267485,5536.84537362865
5074,Conventionnel,556,79.8542438130156,27.4520633850303,63.7937724550898,5.94566602394597,513477.770897833,7576.77697856052
5074,LR,7,128.36,24.4242857142857,96.985,4.98381771635319,777388.5,8081.10513755032
6184,AB,30,87.959696969697,49.2422448979592,55.2941176470588,2.75838634036177,272534.117647059,4205.52797001153
6184,Beurre de Charentes-Poitou,12,188.675,24.2145454545455,72.175,5.25384125053531,553825.833333333,7442.19152145997
6184,Comte - Morbier,6,139.63,131.693333333333,62.9616666666667,6.70874441051977,357047.166666667,5900.17024964726
6184,Conventionnel,694,116.68003421728,49.1914895173086,64.741555333998,6.67840202438347,522647.73571054,7492.94328905693
6184,LR,19,125.367894736842,48.2405882352941,57.8116666666667,5.6284930485978,582806.2,8526.90101101391
6184,Munster,4,145.445,53.4275,85.3225,9.01095754239257,655836,7692.78652783552
