"metric_number"," ","Mean","SD","Min","P25","Median","P75","Max"
"A.2.1","value","51.06","53.92","0.00","15.82","34.41","70.52","2363.62"
"","x_max","49.16","43.54","0.00","15.82","34.41","70.52","162.72"
"","x_norm","0.30","0.27","0.00","0.10","0.21","0.43","1.00"
"A.2.2","value","3.22","2.04","0.01","1.82","2.79","4.10","22.51"
"","x_max","3.09","1.66","0.01","1.82","2.79","4.10","6.64"
"","x_norm","0.47","0.25","0.00","0.27","0.42","0.62","1.00"
"A.3.1","value","64.05","69.25","0.00","21.62","49.92","86.40","2012.82"
"","x_max","59.53","49.09","0.00","21.62","49.92","86.40","177.61"
"","x_norm","0.34","0.28","0.00","0.12","0.28","0.49","1.00"
"A.3.2","value","80.52","41.02","0.00","48.56","80.95","109.66","309.43"
"","x_max","79.43","38.73","0.00","48.56","80.95","109.66","145.43"
"","x_norm","0.55","0.27","0.00","0.33","0.56","0.75","1.00"
"A.3.3","value","3.57","1.39","1.00","2.57","3.49","4.46","9.89"
"","x_max","3.50","1.24","1.00","2.57","3.49","4.46","5.51"
"","x_norm","0.63","0.23","0.18","0.47","0.63","0.81","1.00"
"A.4.3","value","0.47","0.33","0.00","0.17","0.45","0.78","1.00"
"","x_max","0.47","0.33","0.00","0.17","0.45","0.78","0.95"
"","x_norm","0.49","0.35","0.00","0.18","0.48","0.83","1.00"
"A.4.5","value","172.03","134.46","0.00","76.63","173.56","242.16","5585.04"
"","x_max","167.06","109.17","0.00","76.63","173.56","242.16","382.79"
"","x_norm","0.44","0.29","0.00","0.20","0.45","0.63","1.00"
"A.5.1","value","150.09","204.57","0.00","54.85","108.16","178.85","10078.98"
"","x_max","130.93","104.87","0.00","54.85","108.16","178.85","414.78"
"","x_norm","0.32","0.25","0.00","0.13","0.26","0.43","1.00"
