trt,loop2$my_var,std,r,se,Min,Max,Q25,Q50,Q75,FQS_mean,stat_grp,practice_subset,practice,production_type,product_name,FQS,max_value,stat_grp_conv,conv_mean,stat_grp_conv_diff,mean_conv_diff,pval
Autres cereales:AB,0.111579058270123,0.0394816186783799,40,0.012293857986396,0.0575436606272772,0.224358442409452,0.0856564218551803,0.103247183031226,0.137309145982604,0.111579058270123,de,BVI,BVI_ha,crop,Autres cereales,AB,0.500000028958637,c,0.182429129971823,TRUE,-38.837038642153,0
Autres cereales:Conventionnel,0.182429129971823,0.0763877475253604,172,0.00592862477072185,0.063510313523751,0.451428591954065,0.127395343241988,0.170588924779957,0.209275934656319,0.182429129971823,c,BVI,BVI_ha,crop,Autres cereales,Conventionnel,0.500000028958637,c,0.182429129971823,FALSE,0,NA
Ble tendre:AB,0.111164932559763,0.0448074705730281,81,0.00863924277059168,0.0577263670307231,0.289761085752458,0.0830887025550822,0.094118588941573,0.125545601924287,0.111164932559763,e,BVI,BVI_ha,crop,Ble tendre,AB,0.500000028958637,b,0.22397949276573,TRUE,-50.3682541704678,0
Ble tendre:Conventionnel,0.22397949276573,0.0800802159117838,3124,0.0013911138518854,0.0550859812916545,0.500000028958637,0.168696154078742,0.206667302763516,0.269424428624512,0.22397949276573,b,BVI,BVI_ha,crop,Ble tendre,Conventionnel,0.500000028958637,b,0.22397949276573,FALSE,0,NA
Ble tendre:LR,0.230290356790979,0.0637013622421839,97,0.00789463981510074,0.140504777016804,0.384432880009243,0.180248601034483,0.210286037275087,0.270456165879153,0.230290356790979,ab,BVI,BVI_ha,crop,Ble tendre,LR,0.500000028958637,b,0.22397949276573,FALSE,2.81760796371207,0.9995
Maïs grain:AB,0.138821645595085,0.0407325994297885,33,0.0135350921766313,0.0707480899024121,0.247520443629366,0.1163021261425,0.13062724368454,0.164196372621919,0.138821645595085,de,BVI,BVI_ha,crop,Maïs grain,AB,0.500000028958637,a,0.24228848652483,TRUE,-42.7039858202843,0
Maïs grain:Conventionnel,0.24228848652483,0.0809677523991429,1641,0.00191939295825698,0.0899746548007804,0.490061186094257,0.179564035600372,0.224063271022879,0.288761416884973,0.24228848652483,a,BVI,BVI_ha,crop,Maïs grain,Conventionnel,0.500000028958637,a,0.24228848652483,FALSE,0,NA
Melange cereales d'ete:AB,0.100015369902137,0.0273223440525319,42,0.0119975769057427,0.058102896153298,0.192134356780873,0.0819233757726053,0.0919339684439583,0.119414034406653,0.100015369902137,e,BVI,BVI_ha,crop,Melange cereales d'ete,AB,0.500000028958637,d,0.14969415861928,TRUE,-33.1868585757524,0.0154
Melange cereales d'ete:Conventionnel,0.14969415861928,0.0589491822452241,124,0.00698244213192637,0.0586574720086283,0.378887688082306,0.109742330314844,0.141819035522862,0.174907087993394,0.14969415861928,d,BVI,BVI_ha,crop,Melange cereales d'ete,Conventionnel,0.500000028958637,d,0.14969415861928,FALSE,0,NA
Triticale:AB,0.10635375255692,0.0423230810219389,36,0.0129588641558875,0.0576495683229472,0.238235870486259,0.0787470651302812,0.0942415411434856,0.122578725694241,0.10635375255692,e,BVI,BVI_ha,crop,Triticale,AB,0.500000028958637,c,0.189023035486265,TRUE,-43.7350308742406,0
Triticale:Conventionnel,0.189023035486265,0.0739799896373008,763,0.00281485429032062,0.0613002539189477,0.466970816481069,0.139033950934285,0.176488353191824,0.223593763794012,0.189023035486265,c,BVI,BVI_ha,crop,Triticale,Conventionnel,0.500000028958637,c,0.189023035486265,FALSE,0,NA
AB,0.0935407521318799,0.0185323965843486,59,0.00444782432084509,0.0568412013132092,0.150875339138111,0.0825899842577806,0.0941748350656324,0.104395619735475,0.0935407521318799,d,BVI,BVI_ha,milk,AB,AB,0.271137780991464,a,0.169388399893028,TRUE,-44.7773565421523,0
AOP - AOC,0.155688077218499,0.0379614571255786,39,0.00547068019526791,0.0741913559840486,0.271137780991464,0.131344987939552,0.155503213677111,0.180892724573103,0.155688077218499,ab,BVI,BVI_ha,milk,AOP - AOC,AOP - AOC,0.271137780991464,a,0.169388399893028,FALSE,-8.08811151364592,0.2182
Beurre de Charentes-Poitou,0.169916878996856,0.0350689167979069,60,0.00441060337927622,0.0751213610843369,0.251161686923533,0.154053244974968,0.173372795889079,0.189283204948637,0.169916878996856,a,BVI,BVI_ha,milk,Beurre de Charentes-Poitou,Beurre de Charentes-Poitou,0.271137780991464,a,0.169388399893028,FALSE,0.31199250017253,1
Bleu d'Auvergne - Cantal,0.136470233663814,0.0313561344272389,43,0.00521002015386221,0.06118362438,0.184549893255015,0.11575247986411,0.142570114589736,0.158569406813385,0.136470233663814,bc,BVI,BVI_ha,milk,Bleu d'Auvergne - Cantal,Bleu d'Auvergne - Cantal,0.271137780991464,a,0.169388399893028,TRUE,-19.4335422319367,0
Comte - Morbier,0.124786679333308,0.0228311738525847,41,0.00533558082000032,0.0414038448435057,0.160051401845871,0.112774657337343,0.122954498959774,0.142375519525786,0.124786679333308,c,BVI,BVI_ha,milk,Comte - Morbier,Comte - Morbier,0.271137780991464,a,0.169388399893028,TRUE,-26.3310360023982,0
Conventionnel,0.169388399893028,0.0353875130039589,879,0.00115233616899212,0.0570241863203906,0.263435096107847,0.146571465771196,0.172951011169851,0.193101268918231,0.169388399893028,a,BVI,BVI_ha,milk,Conventionnel,Conventionnel,0.271137780991464,a,0.169388399893028,FALSE,0,NA
Fromages de Savoie,0.138817911630073,0.0305825333761264,30,0.00623753511722103,0.059096146122775,0.198651143086167,0.127599057249631,0.140265243641421,0.158499254571767,0.138817911630073,bc,BVI,BVI_ha,milk,Fromages de Savoie,Fromages de Savoie,0.271137780991464,a,0.169388399893028,TRUE,-18.0475689493851,0
Munster,0.159008823474085,0.0338764505789183,38,0.00554219539000321,0.0646484847797136,0.232135673133719,0.144958996114706,0.163702584697064,0.181373517894719,0.159008823474085,ab,BVI,BVI_ha,milk,Munster,Munster,0.271137780991464,a,0.169388399893028,FALSE,-6.12767841569884,0.5971
Autres cereales:AB,6.99296627161486e-05,9.10748202232788e-05,40,1.15422309009926e-05,2.08602155785583e-05,0.00041566997092287,2.82952084668502e-05,3.58354609781711e-05,5.87028741497002e-05,6.99296627161486e-05,ab,BVI,BVI_kg,crop,Autres cereales,AB,0.00488032629182717,a,0.000106585772090662,FALSE,-34.3911843536992,0.1361
