production_type,product_name,FQS,match,n,BVI_ha,BVI_kg,statistique,A.3.1_max,A.4.5_max,A.4.5_min_max,A.4.5_org_max,A.5.1_max,yield,cow_pMFA,feed_autonomy,grassland_share_pseudofarm,ha_temp_pasture_pha_pseudofarm,kg_DM_panim_maize_produced,MFA_pcow,MFA_pha_pseudofarm,nb_cow_pha,share_concent,share_soybean,yield_l_panim,yield_l_pha,feed_A.3.1_max,feed_A.4.5_max,feed_A.4.5_min_max,feed_A.4.5_org_max,feed_A.5.1_max,feed_yield
crop,Autres céréales,AB,Autres céréales__AB,35,0.107021075313219,7.3078393455537e-05,mean,44.0155120646188,218.505799395693,0,218.505799395693,3.05996720762862,2552.12967438081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.036035938249404,9.63920960774929e-05,sd,48.1423939581738,149.038301072406,0,149.038301072406,9.4577107485609,1161.02119098645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.0575436606272772,2.20265552528838e-05,q0,0,44.8944915582142,0,44.8944915582142,0,249.074074074074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.0855940588238148,2.84206150562644e-05,q25,11.6646417723781,107.572234146185,0,107.572234146185,0,2045.19272318728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.102406532373146,3.42262949852671e-05,q50,25.4434076188385,211.432952671707,0,211.432952671707,0,2550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.121318831010094,6.02402591083272e-05,q75,54.4729056740422,260.245318427892,0,260.245318427892,0.472077490096095,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.223733854827778,0.00041566997092287,q100,216.984643179765,651.087225381295,0,651.087225381295,52.3093075643589,5041.24656278643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,AB,Autres céréales__AB,35,0.223733854827778,0.00041566997092287,max,216.984643179765,651.087225381295,0,651.087225381295,52.3093075643589,5041.24656278643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.179274956755933,0.000107780954481548,mean,46.8157983213017,211.428673840491,123.963506679145,88.2034067468494,68.2438798742608,3361.16284102846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.074386466180416,0.000136076533673864,sd,45.592531781283,121.868121794327,77.5396336430886,116.183102420605,55.9860988070089,1995.29468779258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.068234929719666,1.32325292340561e-05,q0,0,19.5451735515473,0,10.882197997632,0,264.31718061674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.124381495634253,3.39509702511348e-05,q25,6.47087715631989,139.568760078666,65.0222332518556,44.0424189099059,17.5967826099982,1792.21470166003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.170494994476554,5.74648981515169e-05,q50,35.9993363859579,195.589366365611,116.782091197135,67.4513708623498,57.3880229643088,3366.33663366337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.204915094437637,9.80832708218544e-05,q75,72.1776487032381,263.459439470542,183.115830039267,95.1609641588794,106.915952381452,5015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.413095537684169,0.00073207236129323,q100,183.467889908257,759.640919231174,269.352906450692,783.536932574232,229.013063998838,7594.93670886076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Autres céréales,Conventionnel,Autres céréales__AB,91,0.413095537684169,0.00073207236129323,max,183.467889908257,759.640919231174,269.352906450692,783.536932574232,229.013063998838,7594.93670886076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.111164932559763,4.14701554970735e-05,mean,51.2426381300676,205.797412064678,0,206.97746210631,6.51471488906772,3361.25446907165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.0448074705730281,2.53069551177567e-05,sd,59.8282309015976,194.580035947301,0,198.020192457947,15.1842150213008,1792.47856841044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.0577263670307231,8.27734115621008e-06,q0,0,49.2756231178666,0,49.2756231178666,0,843.170320404722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.0830887025550822,2.70458764906959e-05,q25,9.39886187273668,49.2756231178666,0,49.2756231178666,0,2090.59233449477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.094118588941573,3.42457695032521e-05,q50,31.5925453966231,166.528175225284,0,166.528175225284,0,2964.70588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.125545601924287,4.94371858255019e-05,q75,67.8385329840438,259.437544111363,0,259.437544111363,3.77022796854946,3898.82854100106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.289761085752458,0.00013098915776484,q100,246.166070798635,759.640919231174,0,783.536932574232,72.0979164674928,8935.96905887409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,AB,Blé tendre__AB,81,0.289761085752458,0.00013098915776484,max,246.166070798635,759.640919231174,0,783.536932574232,72.0979164674928,8935.96905887409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.211583958880052,3.54048947765382e-05,mean,54.5165263679616,220.620628558455,171.437424513682,41.6064717300423,140.392272177731,6493.51898866701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.0733530925123977,1.6377205363423e-05,sd,49.0711038002587,109.222107214769,72.8812066562986,85.6098206532661,77.3994883015883,2141.86396304021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.0654558686030425,1.32390742754177e-05,q0,0,11.9141044387691,0,9.87872197560682,0,1503.75939849624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.164478454987129,2.52839946049877e-05,q25,16.8555556750024,156.474854155938,117.629675119138,10.5842660561162,85.4832959286892,4962.9392737097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.195229819839022,3.12623050388534e-05,q50,43.3294519681053,213.386978812337,182.287549351455,23.6246875618108,143.048173853507,6316.78082191781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.246749518128785,4.18812910085276e-05,q75,77.1627194327962,262.375168156297,230.061125579191,40.2594845562491,182.539811615479,8150.76690535199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.455149527188891,0.0001455932792831,q100,246.166070798635,759.640919231174,269.352906450692,783.536932574232,372.895156160708,11980.1365611421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__AB,243,0.455149527188891,0.0001455932792831,max,246.166070798635,759.640919231174,269.352906450692,783.536932574232,372.895156160708,11980.1365611421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.218013888935896,4.36165982124824e-05,mean,55.8873406567815,241.156750194972,171.858436327929,56.9978287845716,140.835525105113,6036.31519751949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.0748256086655721,6.15012946810025e-05,sd,46.206386789961,140.536778331429,69.3563902573136,123.80189837983,72.4633181733771,1978.35460231388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.0896691914849902,1.41755000101691e-05,q0,0,25.5113188653523,0,8.9507987495537,7.29043872882291,481.481481481481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.167908514356399,2.65208597534166e-05,q25,26.4193665341863,158.715410841779,121.579077334523,10.5842660561162,79.3551560942579,4512.53078817734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.201626788508427,3.47212106862884e-05,q50,47.7821782178218,215.596900950232,180.591510312658,22.3961768565679,145.010977984998,5930.30303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.254937288798112,4.61967984473274e-05,q75,75.7763460809838,273.004520519361,222.442588847351,40.6630320859012,189.689844009574,7276.46931899285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
