farm_id,org_farming,crop,area_ha
3120000003009,FALSE,CWHTC,63.08
3120000003009,FALSE,CBRL,17.2
3120000003009,FALSE,CRAPE,54.25
3120000003055,FALSE,CWHTC,7.92
3120000003055,FALSE,CBRL,17.03
3120000003055,FALSE,CRAPE,11.37
3120000003095,FALSE,CBRL,4.5
312000000409,TRUE,COAT,1.9
312000000409,TRUE,CCEROTH,15.1
3120000007005,FALSE,CWHTC,42
3120000007005,FALSE,CBRL,11
3120000007005,FALSE,CMZ,15
3120000007005,FALSE,CCEROTH,3.3
3120000007005,FALSE,CSNFL,8.7
3120000007005,FALSE,CSOYA,38.3
3120000007023,FALSE,CWHTC,101.97
3120000007023,FALSE,CBRL,44.36
3120000007023,FALSE,CMZ,34.92
3120000007023,FALSE,CRAPE,41.2
3120000007023,FALSE,CSOYA,32.25
3120000007023,FALSE,CHEMP,7.75
3120000007037,FALSE,CWHTC,92.98
3120000007037,FALSE,CBRL,9.2
3120000007037,FALSE,COAT,6.94
3120000007037,FALSE,CMZ,32.43
3120000007037,FALSE,CPEA,26.3
3120000007037,FALSE,CRAPE,56.33
3120000007037,FALSE,CSOYA,21.37
3120000007037,FALSE,CLEG,10.12
3120000007048,FALSE,CWHTC,23
3120000007048,FALSE,CBRL,7
3120000007048,FALSE,CRAPE,8
3120000007049,FALSE,CWHTC,3.1
3120000007049,FALSE,CBRL,7
3120000007049,FALSE,COAT,1.5
3120000007049,FALSE,CCEROTH,4.6
31200000070544,FALSE,CWHTC,60.09
31200000070544,FALSE,CMZ,4.24
31200000070544,FALSE,CRAPE,15.73
31200000070544,FALSE,CSOYA,17.09
31200000070548,FALSE,CWHTC,16.41
31200000070548,FALSE,CMZ,11.2
3120000007096,FALSE,CWHTC,19
3120000007096,FALSE,CBRL,18.81
3120000007096,FALSE,CMZ,12
3120000007096,FALSE,CRAPE,7.58
3120000007102,FALSE,CWHTC,2.93
3120000007102,FALSE,CBRL,5.96
3120000007102,FALSE,COAT,2.62
3120000007102,FALSE,CMZ,5.46
3120000007102,FALSE,CCEROTH,3.73
3120000007103,FALSE,CWHTC,15.29
3120000007103,FALSE,CBRL,13.78
3120000007103,FALSE,CMZ,12.1
3120000007103,FALSE,CSOYA,10.04
3120000007107,FALSE,CWHTC,11.55
3120000007107,FALSE,CBRL,4.81
3120000007107,FALSE,CRAPE,8.25
3120000007109,FALSE,CWHTC,17
3120000007109,FALSE,CBRL,19.2
3120000007109,FALSE,CMZ,10.9
3120000007109,FALSE,CRAPE,10.8
3120000007112,FALSE,CWHTC,20.28
3120000007112,FALSE,CBRL,5.94
3120000007112,FALSE,COAT,1.77
3120000007112,FALSE,CMZ,19.87
3120000007112,FALSE,CSOYA,24.26
3120000007114,FALSE,CWINEPDO,6.76
3120000007115,FALSE,CWHTC,20.25
3120000007115,FALSE,CBRL,16.78
3120000007115,FALSE,CMZ,8.98
3120000007116,FALSE,CWHTC,5.12
3120000007116,FALSE,CBRL,10.48
3120000007117,FALSE,CWHTC,95.46
3120000007117,FALSE,CBRL,31.84
3120000007117,FALSE,CRAPE,68.53
3120000007117,FALSE,CSNFL,9.36
3120000007117,FALSE,CSOYA,14.56
3120000007119,TRUE,CWINEPDO,5.12
3120000007121,FALSE,CWHTC,23
3120000007121,FALSE,CBRL,14.7
3120000007121,FALSE,CCEROTH,5.77
3120000007123,FALSE,CWHTC,1.73
3120000007123,FALSE,CBRL,2.28
3120000007123,FALSE,CCEROTH,8.45
3120000007123,FALSE,CFRUTTMP,1
3120000007124,FALSE,CWHTC,5.6
3120000007124,FALSE,CBRL,13
3120000007127,FALSE,CWHTC,6.03
3120000007128,FALSE,CBRL,5.1
3120000007128,FALSE,CCEROTH,1.1
3120000007129,FALSE,CWHTC,33
3120000007129,FALSE,CBRL,20.62
3120000007129,FALSE,CMZ,12.25
3120000007129,FALSE,CSNFL,13.5
3120000007130,FALSE,CBRL,3
3120000007130,FALSE,CMZ,17.62
3120000007130,FALSE,CRAPE,3.28
3120000007130,FALSE,CSOYA,3.12
3120000007134,FALSE,CWHTC,1.2
3120000007134,FALSE,CBRL,4.72
3120000007135,TRUE,CWHTC,5.68
3120000007135,TRUE,COAT,2.46
3120000007135,TRUE,CMZ,3
3120000007135,TRUE,CCEROTH,9.64
3120000007135,TRUE,CPEA,2
3120000007137,FALSE,CWHTC,33.32
3120000007137,FALSE,CBRL,11.68
3120000007137,FALSE,CMZ,1.5
3120000007137,FALSE,CCEROTH,2.16
3120000007137,FALSE,CRAPE,10.33
3120000007137,FALSE,CSOYA,24.7
3120000007138,FALSE,CWHTC,7.35
3120000007138,FALSE,CBRL,1.29
3120000007138,FALSE,COAT,1.44
3120000007138,FALSE,CCEROTH,11.65
3120000007140,FALSE,CWHTC,37.56
3120000007140,FALSE,CBRL,9.83
3120000007140,FALSE,CMZ,4
3120000007140,FALSE,CRAPE,13.02
3120000007143,FALSE,CWHTC,86.51
3120000007143,FALSE,CBRL,22.37
3120000007143,FALSE,CRAPE,34.88
3120000007150,FALSE,CBRL,6
3120000007152,FALSE,CWHTC,16.96
3120000007152,FALSE,CBRL,17.45
3120000007152,FALSE,CMZ,18.29
3120000007152,FALSE,CCEROTH,6.53
3120000007152,FALSE,CSNFL,5.46
3120000007152,FALSE,CSOYA,8.1
3120000007153,FALSE,CBRL,21
3120000007153,FALSE,CCEROTH,4
3120000007154,FALSE,CWHTC,18.75
3120000007154,FALSE,CBRL,14.39
3120000007154,FALSE,CMZ,2.5
3120000007154,FALSE,CRAPE,7.18
3120000007154,FALSE,CSOYA,12.91
3120000007156,FALSE,CBRL,5
3120000007156,FALSE,COAT,0.75
3120000007157,FALSE,CWHTC,21.3
3120000007157,FALSE,CBRL,7.5
3120000007157,FALSE,COAT,1.07
3120000007157,FALSE,CMZ,22.2
3120000007157,FALSE,CSOYA,13.02
3120000007161,FALSE,CBRL,4.65
3120000007162,FALSE,CWHTC,51.4
3120000007162,FALSE,CRYE,2.9
3120000007162,FALSE,CBRL,10.2
3120000007162,FALSE,CMZ,22.8
3120000007162,FALSE,CRAPE,18
3120000007163,FALSE,CWHTC,44.72
3120000007163,FALSE,CBRL,11.55
3120000007163,FALSE,CMZ,19.85
3120000007163,FALSE,CRAPE,36.71
3120000007164,FALSE,CWHTC,16.52
3120000007164,FALSE,CBRL,5.63
3120000007164,FALSE,CMZ,7
3120000007164,FALSE,CRAPE,12.11
3120000007166,FALSE,CWHTC,2.7
3120000007166,FALSE,CBRL,8
3120000007166,FALSE,CCEROTH,9
3120000007169,FALSE,CWHTC,35.6
3120000007169,FALSE,CRAPE,15.73
3120000007169,FALSE,CSNFL,10.86
3120000007170,FALSE,CWHTC,60.52
3120000007170,FALSE,CMZ,22.35
3120000007170,FALSE,CRAPE,29.65
3120000007170,FALSE,CSOYA,6.72
3120000007171,TRUE,CWINEPDO,13.96
3120000007174,FALSE,CWHTC,9.55
3120000007174,FALSE,CBRL,10.44
3120000007174,FALSE,CMZ,3.16
3120000007177,FALSE,CWHTC,8.77
3120000007177,FALSE,CBRL,4.72
3120000007180,FALSE,CWHTC,20.85
3120000007180,FALSE,CBRL,20.41
3120000007180,FALSE,CMZ,7.68
3120000007181,FALSE,CBRL,12.84
3120000007181,FALSE,CCEROTH,5
3120000007183,FALSE,CWHTC,15.6
3120000007183,FALSE,CBRL,6
3120000007183,FALSE,CMZ,5
3120000007183,FALSE,CCEROTH,6
3120000007185,FALSE,CWHTC,19.41
3120000007185,FALSE,CBRL,8.56
3120000007185,FALSE,CCEROTH,6.16
3120000007185,FALSE,CRAPE,10
3120000007185,FALSE,CLEG,1.74
3120000007189,FALSE,CWHTC,75.65
3120000007189,FALSE,CBRL,10.72
3120000007189,FALSE,CMZ,10
3120000007189,FALSE,CRAPE,33.73
3120000007190,FALSE,CWHTC,8.75
3120000007190,FALSE,CBRL,6.53
3120000007190,FALSE,CMZ,3.7
3120000007191,FALSE,CWHTC,8
3120000007191,FALSE,CBRL,24
3120000007192,FALSE,CWHTC,14
3120000007192,FALSE,CBRL,25
3120000007192,FALSE,CRAPE,17
3120000007194,FALSE,CWHTC,5.8
3120000007194,FALSE,CBRL,6.15
3120000007194,FALSE,CLINSED,4.65
3120000007198,FALSE,CWHTC,8.1
3120000007198,FALSE,CBRL,10.15
3120000007198,FALSE,CMZ,8.57
3120000007198,FALSE,CSOYA,8.68
3120000007200,FALSE,CWHTC,47.49
3120000007200,FALSE,CBRL,10.03
3120000007200,FALSE,CRAPE,22.29
3120000007200,FALSE,CSOYA,16.59
3120000007204,FALSE,CWHTC,0.85
3120000007204,FALSE,CBRL,5.16
3120000007208,FALSE,CWHTC,30.56
3120000007208,FALSE,CBRL,13.47
3120000007208,FALSE,CMZ,6.11
3120000007208,FALSE,CCEROTH,1.96
3120000007208,FALSE,CRAPE,12.44
3120000007208,FALSE,CSOYA,11.82
3120000007210,TRUE,CWINEPDO,6.89
3120000007212,FALSE,CBRL,4.3
3120000007212,FALSE,CPEA,4
3120000007213,FALSE,CRYE,1.89
3120000007213,FALSE,CBRL,5.55
3120000007213,FALSE,CCEROTH,4.16
3120000007215,FALSE,CWHTC,28.51
3120000007215,FALSE,CBRL,20.22
3120000007216,FALSE,CWHTC,162.47
3120000007216,FALSE,CBRL,30.81
3120000007216,FALSE,COAT,2.12
3120000007216,FALSE,CRAPE,122.04
3120000007216,FALSE,CSOYA,27.8
3120000007224,FALSE,CWHTC,16.6
3120000007224,FALSE,CBRL,20.42
3120000007224,FALSE,CCEROTH,6.67
3120000007228,FALSE,CWHTC,38.16
3120000007228,FALSE,CBRL,8.36
3120000007228,FALSE,CMZ,8.36
3120000007228,FALSE,CRAPE,16.88
3120000007231,FALSE,CWHTC,32.9
3120000007231,FALSE,CBRL,17.38
3120000007231,FALSE,CHEMP,8.71
3120000007235,FALSE,CWHTC,2.5
3120000007235,FALSE,CBRL,7.23
3120000007235,FALSE,CCEROTH,4.32
3120000007238,FALSE,CWHTC,9.99
3120000007238,FALSE,CBRL,7.2
3120000007238,FALSE,CCEROTH,4.93
3120000007239,FALSE,CWHTC,48.61
3120000007239,FALSE,CBRL,21.49
3120000007239,FALSE,COAT,2
3120000007239,FALSE,CMZ,17.6
3120000007239,FALSE,CRAPE,30.8
3120000007239,FALSE,CLEG,4
3120000007248,FALSE,CWHTC,15.46
3120000007248,FALSE,CMZ,4.06
3120000007248,FALSE,CRAPE,7.25
3120000007248,FALSE,CSOYA,16.84
3120000007259,FALSE,CWHTC,3.25
3120000007269,FALSE,CWHTC,43.23
3120000007269,FALSE,CBRL,44.48
3120000007278,FALSE,CWHTC,2.33
3120000007278,FALSE,CBRL,9.08
3120000007278,FALSE,CPEA,3.7
3120000007283,FALSE,CWHTC,20.8
3120000007283,FALSE,CBRL,8.5
3120000007283,FALSE,CRAPE,6.7
3120000007283,FALSE,CSOYA,4.2
3120000007293,FALSE,CWHTC,34.66
3120000007293,FALSE,CBRL,14.57
3120000007293,FALSE,CMZ,2.4
3120000007293,FALSE,CPOT,1
3120000007293,FALSE,CPOTOTH,1
3120000007299,FALSE,CWHTC,96.25
3120000007299,FALSE,CBRL,35.58
3120000007299,FALSE,CMZ,76.34
3120000007299,FALSE,CRAPE,39.88
3120000007299,FALSE,CSOYA,40.06
31200000073011,FALSE,CWHTC,63.19
31200000073011,FALSE,CBRL,18.43
31200000073011,FALSE,COAT,1.98
31200000073011,FALSE,CMZ,72.66
31200000073011,FALSE,CRAPE,54.57
3120000007317,FALSE,CWHTC,93.2
3120000007317,FALSE,CBRL,75.34
3120000007317,FALSE,CRAPE,84.33
3120000007317,FALSE,CSOYA,38.08
3120000007334,FALSE,CWHTC,77.95
3120000007334,FALSE,CBRL,15.08
3120000007334,FALSE,CRAPE,39.44
